,Country Name,Country Code,2010,2011,2012,2013,2014,2015
204,South Asia,SAS,66.75099424,67.14243659,67.63201789,68.1214015,68.6382507,69.14378351
205,Saudi Arabia,SAU,75.763,76.234,76.461,76.626,76.757,76.918
206,Sudan,SDN,63.016,63.246,63.792,63.678,64.269,64.659
207,Senegal,SEN,64.615,65.262,65.457,66.072,66.452,66.879
208,Singapore,SGP,81.54146341,81.74390244,81.99512195,82.24634146,82.49512195,82.74390244
209,Solomon Islands,SLB,68.732,68.908,69.084,69.188,69.234,69.583
210,Sierra Leone,SLE,53.693,54.62,55.451,56.313,56.393,57.189
211,El Salvador,SLV,71.848,71.859,71.831,71.771,71.746,71.814
212,San Marino,SMR,,,,,,
213,Somalia,SOM,50.563,51.304,53.161,53.843,54.277,54.857
214,Serbia,SRB,74.33658537,74.53658537,74.83658537,75.18536585,75.33658537,75.28780488
215,Sub-Saharan Africa (excluding high income),SSA,56.84569723,57.55714406,58.13948003,58.66668187,59.14134689,59.56161718
216,South Sudan,SSD,54.812,54.94,55.865,55.751,54.973,55.566
217,Sub-Saharan Africa,SSF,56.84736569,57.55861069,58.14101325,58.668043,59.1426582,59.5629817
218,Small states,SST,66.25767121,66.704324,67.16178487,67.59565915,67.94508487,68.3472918
219,Sao Tome and Principe,STP,65.249,64.902,65.746,66.328,66.845,67.249
220,Suriname,SUR,69.894,69.914,69.764,69.682,69.782,70.8
221,Slovak Republic,SVK,75.11219512,75.95853659,76.1097561,76.41219512,76.81219512,76.56341463
222,Slovenia,SVN,79.42195122,79.97073171,80.12439024,80.32195122,81.07804878,80.77560976
223,Sweden,SWE,81.45121951,81.80243902,81.70487805,81.95609756,82.25365854,82.20487805
224,Eswatini,SWZ,46.619,48.195,49.835,51.486,53.05,55.019
225,Sint Maarten (Dutch part),SXM,75.132,74.684,74.608,74.917,76.773,76.954
226,Seychelles,SYC,73.19756098,72.72439024,74.27560976,73.1195122,73.22926829,74.29512195
227,Syrian Arab Republic,SYR,73.881,73.305,66.769,63.827,63.153,65.124
228,Turks and Caicos Islands,TCA,76.243,76.195,77.037,77.018,77.135,76.912
229,Chad,TCD,49.584,50.009,50.54,50.781,51.202,51.589
230,East Asia & Pacific (IDA & IBRD countries),TEA,73.9199887,74.18704409,74.43057925,74.67384968,74.92772481,75.15214647
231,Europe & Central Asia (IDA & IBRD countries),TEC,71.41781205,71.88691778,72.26168438,72.6995609,72.91822053,73.13988545
232,Togo,TGO,57.304,57.925,58.073,58.684,58.853,59.396
233,Thailand,THA,76.131,76.421,76.772,77.083,77.415,77.717
234,Tajikistan,TJK,67.742,68.148,68.484,68.885,69.069,69.306
235,Turkmenistan,TKM,68.293,68.567,68.722,68.74,68.614,68.782
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,73.26790988,73.76476008,73.99559559,74.2498057,74.45969343,74.52116454
237,Timor-Leste,TLS,65.304,65.697,66.081,66.44,66.787,67.137
238,Middle East & North Africa (IDA & IBRD countries),TMN,71.25758184,71.50354787,71.35405194,71.37597722,71.69231407,71.95855147
239,Tonga,TON,70.323,70.381,70.442,70.505,70.54,70.607
240,South Asia (IDA & IBRD),TSA,66.75099424,67.14243659,67.63201789,68.1214015,68.6382507,69.14378351
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,56.84736569,57.55861069,58.14101325,58.668043,59.1426582,59.5629817
242,Trinidad and Tobago,TTO,72.725,73.278,73.716,73.962,74.215,74.503
243,Tunisia,TUN,75.421,75.46,75.55,75.65,75.65,75.692
244,Turkiye,TUR,75.069,74.941,75.678,76.297,76.565,76.646
245,Tuvalu,TUV,63.978,63.974,63.964,64.008,64.025,64.06
246,Tanzania,TZA,60.105,61.049,62.03,62.96,63.873,64.651
247,Uganda,UGA,57.055,57.965,58.817,59.763,60.408,61.086
248,Ukraine,UKR,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,71.1895122
249,Upper middle income,UMC,73.60644456,73.91488157,74.22327287,74.51676739,74.77803014,74.99509383
250,Uruguay,URY,76.858,76.983,77.111,77.24,77.366,77.483
251,United States,USA,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439
252,Uzbekistan,UZB,69.235,69.649,69.874,69.99,70.234,70.475
253,St. Vincent and the Grenadines,VCT,74.718,74.596,74.146,73.798,74.473,74.407
254,"Venezuela, RB",VEN,72.89,72.913,73.036,73.196,72.853,73.006
255,British Virgin Islands,VGB,75.428,75.486,75.532,75.574,75.612,75.675
256,Virgin Islands (U.S.),VIR,77.86585366,78.31707317,78.51707317,78.71707317,78.86829268,79.01707317
257,Vietnam,VNM,73.513,73.692,73.704,73.775,73.855,73.876
258,Vanuatu,VUT,69.617,69.551,69.497,69.534,69.465,69.513
259,World,WLD,70.67123434,71.00826967,71.28444007,71.57750561,71.8814711,72.09521828
260,Samoa,WSM,72.249,72.26,72.167,72.391,72.463,72.515
261,Kosovo,XKX,77.63,77.74,78.28,78.587,78.88,78.922
262,"Yemen, Rep.",YEM,67.28,67.419,67.343,67.545,67.384,65.873
263,South Africa,ZAF,58.899,60.651,61.846,62.533,63.38,63.95
264,Zambia,ZMB,56.799,57.771,58.867,59.878,60.699,61.208
265,Zimbabwe,ZWE,50.652,53.347,55.626,57.458,58.846,59.591
