Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.808,74.123,74.202,74.615,75.11,75.622,75.732,75.743,76.066,76.474,74.453,76.377
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.8761729,74.14703458,74.3957727,74.64474646,74.90326857,75.12303517,75.32186322,75.38591132,75.80143372,76.0020203,75.93602464,75.5432913
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.86610314,68.29165913,68.67278779,69.06632686,69.48710058,69.87426237,70.21988336,70.54205655,70.79770566,71.01658296,70.02998828,68.46740583
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.73436579,74.97135414,75.22981361,75.47911626,75.73130511,75.94881673,76.13792375,76.21239638,76.59417271,76.79777484,76.76194199,76.39391116
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.76702478,71.21871533,71.65217147,72.10464277,72.30863923,72.58773076,72.8986354,73.40791613,73.60952651,73.9038168,72.2166617,71.4330857
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.98633734,76.45856153,76.64319985,76.98604935,77.29645079,77.23132323,77.56514697,77.77863318,77.91145458,78.18624804,76.95919096,76.63038142
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.43,75.743,76.062,76.369,76.622,76.789,76.763,76.972,77.094,77.297,72.153,73.67
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.664,69.88,70.085,70.052,70.415,70.483,70.844,71.302,71.367,71.358,70.99,70.221
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.74751218,81.23402434,81.22809474,81.51362679,81.94491592,81.57128882,81.95633831,81.93453307,82.05155281,82.32775602,81.53792022,81.70881156
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.787,64.402,64.838,65.067,65.6,66.033,66.289,66.577,67.067,67.3,67.133,66.536
