,Country,Code,Year,Life Expectancy,Consumption of Alcohol
243,Papua New Guinea,PNG,2015,64.701,1.39
244,Poland,POL,2010,76.24634146,11.21
245,Poland,POL,2015,77.45121951,11.63
246,Portugal,PRT,2010,79.02682927,12.51
247,Portugal,PRT,2015,81.12439024,11.88
248,Paraguay,PRY,2010,71.887,7.58
249,Paraguay,PRY,2015,73.191,7.26
250,Qatar,QAT,2010,78.425,1.69
251,Qatar,QAT,2015,80.064,1.62
252,Romania,ROU,2010,73.45853659,13.97
253,Romania,ROU,2015,74.91219512,11.64
254,Russia,RUS,2010,68.84121951,15.87
255,Russia,RUS,2015,71.18341463,12.47
256,Rwanda,RWA,2010,62.54,10.27
257,Rwanda,RWA,2015,65.298,9.26
258,Saudi Arabia,SAU,2010,75.763,0.17
259,Saudi Arabia,SAU,2015,76.918,0.2
260,Sudan,SDN,2015,64.659,0.52
261,Senegal,SEN,2010,64.615,0.6
262,Senegal,SEN,2015,66.879,0.73
263,Singapore,SGP,2010,81.54146341,2.19
264,Singapore,SGP,2015,82.74390244,2.07
265,Solomon Islands,SLB,2010,68.732,1.6
266,Solomon Islands,SLB,2015,69.583,1.55
267,Sierra Leone,SLE,2010,53.693,5.83
268,Sierra Leone,SLE,2015,57.189,5.63
269,El Salvador,SLV,2010,71.848,3.31
270,El Salvador,SLV,2015,71.814,3.59
271,Somalia,SOM,2010,50.563,0.28
272,Somalia,SOM,2015,54.857,0.013
273,Serbia,SRB,2010,74.33658537,11.69
274,Serbia,SRB,2015,75.28780488,8.7
275,Sao Tome and Principe,STP,2010,65.249,8.34
276,Sao Tome and Principe,STP,2015,67.249,7.19
277,Suriname,SUR,2010,69.894,6.22
278,Suriname,SUR,2015,70.8,5.81
279,Slovenia,SVN,2010,79.42195122,11.54
280,Slovenia,SVN,2015,80.77560976,12.74
281,Sweden,SWE,2010,81.45121951,9.49
282,Sweden,SWE,2015,82.20487805,9.13
283,Eswatini,SWZ,2010,46.619,6.82
284,Eswatini,SWZ,2015,55.019,9.84
285,Seychelles,SYC,2010,73.19756098,10.19
286,Seychelles,SYC,2015,74.29512195,18.35
287,Chad,TCD,2010,49.584,6.58
288,Chad,TCD,2015,51.589,1.45
289,Togo,TGO,2010,57.304,2.11
290,Togo,TGO,2015,59.396,2.37
291,Thailand,THA,2010,76.131,7.71
292,Thailand,THA,2015,77.717,8.36
293,Tajikistan,TJK,2010,67.742,2.4
294,Tajikistan,TJK,2015,69.306,3.11
295,Turkmenistan,TKM,2010,68.293,4.82
